Menu ID,Name,Price,Category,Ingredients used
1,Chick-fil-A Chicken Sandwich,3.05,Entree,Bread 1 | Chicken Breast 1 | Peanut Oil 0.03125 | Pickle 2
2,Chick-fil-A Chicken Sandwich - Combo,5.95,Entree,Bread 1 | Chicken Breast 1 | Peanut Oil 0.03125 | Pickle 2 | Waffle Fries 0.25 | Coca-cola 0.125
3,Chick-fil-A Chicken Deluxe Sandwich,3.65,Entree,Bread 1 | Chicken Breast 1 | Peanut Oil 0.03125 | Pickles 2 | Lettuce 2 | Tomato 0.5 | American Cheese 1
4,Chick-fil-A Chicken Deluxe Sandwich - Combo,6.55,Entree,Bread 1 | Chicken Breast 1 | Peanut Oil 0.03125 | Pickles 2 | Lettuce 1 | Tomato 0.5 | American Cheese 1 | Waffle Fries 0.25 | Coca-cola 0.125
5,Spicy Chicken Sandwich,3.29,Entree,Bread 1 | Chicken Breast 1 | Peanut Oil 0.03125 | Pickle 2
6,Spicy Chicken Sandwich - Combo,6.19,Entree,Bread 1 | Chicken Breast 1 | Peanut Oil 0.03125 | Pickle 2 | Waffle Fries 0.25 | Coca-cola 0.125
7,Spicy Chicken Deluxe Sandwich,3.89,Entree,Bread 1 | Chicken Breast 1 | Peanut Oil 0.03125 | Pickles 2 | Lettuce 1 | Tomato 0.5 | Pepper Jack Cheese 1
8,Spicy Chicken Deluxe Sandwich - Combo,6.79,Entree,Bread 1 | Chicken Breast 1 | Peanut Oil 0.03125 | Pickles 2 | Lettuce 1 | Tomato 0.5 | Pepper Jack Cheese 1 | Waffle Fries 0.25 | Coca-cola 0.125
9,Chick-fil-A Nuggets 8 Pc.,3.05,Entree,Chicken nuggets 8
10,Chick-fil-A Nuggets - Combo 8 Pc.,5.95,Entree,Chicken nuggets 8 | Waffle Fries 0.25 | Coca-cola 0.125
11,Chick-fil-A Nuggets (Grilled) 8 Pc.,3.85,Entree,Chicken nuggets 8
12,Chick-n-Strips 3 Pc.,3.35,Sides,Chicken strips 3
13,Chick-n-Strips - Combo 3 Pc.,6.25,Sides,Chicken strips 3 | Waffle Fries 0.25 | Coca-cola 0.125
14,Grilled Chicken Sandwich,4.39,Entree,Sesame Bread 1 | Chicken Breast 1 | Lettuce 1 | Tomato 0.5 | Honey BBQ sauce 1
15,Grilled Chicken Sandwich - Combo,7.19,Entree,Sesame Bread 1 | Chicken Breast 1 | Lettuce 1 | Tomato 0.5 | Honey BBQ sauce 1 | Waffle Fries 0.25 | Coca-cola 0.125
