Order ID,Order Number,Total Price Due,Date,Employee ID,Customer ID,Order Satisfied,Items Ordered
100000,0,12.29,10/4/2022,493194,645,True,"['Hash Brown Scramble Burrito', 'Diet Coke', 'Fruit Cup Large']"
100001,1,2.45,10/4/2022,706968,591,True,['Greek Yogurt Parfait']
100002,2,27.01,10/4/2022,871008,182,True,"['Autumn Spice Milkshake', 'Cookies & Cream Milkshake', 'Hash Brown Scramble Burrito', 'Dr Pepper', 'Grilled Market Salad w/ Nuggets']"
100003,3,10.04,10/4/2022,871851,163,True,"['Chocolate Chunk Cookie', 'Grilled Chicken Cool Wrap - Combo']"
100004,4,13.78,10/4/2022,908714,584,True,"['Grilled Market Salad w/ Grilled Filet', 'Grilled Chicken Club Sandwich']"
100005,5,25.51,10/4/2022,699912,751,True,"['Bacon, Egg, & Cheese Muffin', 'Grilled Market Salad w/ Chick-n-Strips', 'Grilled Market Salad w/ Nuggets', 'Sunjoy (1/2 Unsweet Tea, 1/2 Lemonade)', 'Buttered Biscuit']"
100006,6,2.45,10/4/2022,871851,833,True,['Sprite']
100007,7,15.24,10/4/2022,908714,730,True,"['Chick-fil-A Chicken Deluxe Sandwich - Combo', 'Egg White Grill', 'Frosted Lemonade']"
100008,8,5.19,10/4/2022,699912,671,True,['Vanilla Milkshake']
100009,9,12.47,10/4/2022,706968,331,True,"['Grilled Chicken Sandwich', 'Grilled Chicken Cool Wrap', 'Sunjoy (1/2 Unsweet Tea, 1/2 Lemonade)']"
100010,10,11.09,10/4/2022,528785,444,True,"['Buddy Fruits Apple Sauce', 'Grilled Chicken Club Sandwich', 'Chicken Soup']"
100011,11,30.87,10/4/2022,150541,491,True,"['Grilled Market Salad w/ Spicy Filet', 'Chick-fil-A Chicken Sandwich - Combo', 'Chick-fil-A Chicken Deluxe Sandwich - Combo', 'Vanilla Milkshake', 'Chick-n-Minis']"
100012,12,6.88,10/4/2022,528785,553,True,"['Chicken, Egg, & Cheese Muffin', 'Buttered Biscuit']"
100013,13,8.54,10/4/2022,150541,597,True,"['Spicy Chicken Deluxe Sandwich', 'Grilled Nuggets - 6 Pc.']"
100014,14,4.14,10/4/2022,528785,267,True,"['Hash Browns', 'Dr Pepper']"
100015,15,38.67,10/4/2022,908714,283,True,"['Spicy Southwest Salad', 'Iced Coffee', 'Hash Brown Scramble Bowl', 'Cobb Salad', 'Autumn Spice Milkshake']"
100016,16,18.22,10/4/2022,727301,484,True,"['Grilled Market Salad w/ Chick-n-Strips', 'Chick-n-Minis', 'Coca-Cola', 'Waffle Potato Chips']"
100017,17,20.21,10/4/2022,528785,158,True,"['Chicken, Egg, & Cheese Biscuit', 'Dasani Bottled Water', 'Waffle Potato Fries - Small', 'Lemonade', 'Grilled Market Salad w/ Spicy Filet']"
